cpu_usage,memory_usage,disk_usage,process_count,threat
2,14,64,109,Normal
35,69,83,79,Normal
49,78,27,262,Suspicious
78,52,43,439,Suspicious
6,51,48,216,Normal
96,88,45,257,Suspicious
62,81,94,581,Suspicious
21,83,73,585,Suspicious
74,41,50,201,Normal
67,96,68,149,Suspicious
21,48,22,341,Suspicious
7,41,81,74,Normal
89,15,42,434,Suspicious
92,86,76,527,Malware
5,21,22,313,Suspicious
9,64,33,159,Normal
30,54,71,527,Suspicious
25,46,64,480,Suspicious
10,97,67,420,Suspicious
41,89,50,333,Suspicious
15,27,88,216,Normal
45,34,71,192,Normal
74,74,73,465,Suspicious
96,42,87,218,Suspicious
30,80,23,286,Suspicious
32,29,84,357,Suspicious
36,95,42,108,Suspicious
68,79,40,59,Suspicious
31,74,79,291,Normal
90,39,38,248,Suspicious
21,40,32,261,Normal
20,44,44,529,Suspicious
20,54,78,50,Normal
56,30,65,176,Normal
26,77,96,380,Suspicious
77,71,65,138,Suspicious
88,88,65,550,Suspicious
5,83,20,135,Suspicious
82,77,20,570,Suspicious
11,99,43,73,Suspicious
59,69,28,521,Suspicious
6,91,39,340,Suspicious
77,16,59,153,Suspicious
38,99,73,85,Suspicious
51,42,37,77,Normal
56,66,29,398,Suspicious
58,10,97,494,Suspicious
54,23,36,453,Suspicious
11,65,99,583,Suspicious
32,72,59,580,Suspicious
94,33,23,429,Suspicious
87,76,41,523,Suspicious
52,69,39,597,Suspicious
91,86,72,164,Suspicious
95,91,42,52,Suspicious
70,38,81,365,Suspicious
31,29,79,136,Normal
39,26,23,490,Suspicious
52,23,63,562,Suspicious
79,29,27,68,Suspicious
65,44,31,142,Normal
41,85,88,494,Suspicious
30,84,41,174,Suspicious
68,86,50,368,Suspicious
93,69,93,546,Suspicious
48,91,93,328,Suspicious
67,25,66,279,Normal
82,93,53,260,Suspicious
71,36,63,433,Suspicious
100,31,81,401,Suspicious
12,98,57,572,Suspicious
63,12,90,507,Suspicious
20,73,61,528,Suspicious
70,90,97,289,Suspicious
35,41,83,150,Normal
99,64,62,84,Suspicious
44,24,82,521,Suspicious
81,58,59,131,Suspicious
9,39,99,241,Normal
95,75,57,154,Suspicious
20,49,93,104,Normal
83,47,51,507,Suspicious
77,86,45,113,Suspicious
96,14,83,263,Suspicious
14,64,83,507,Suspicious
36,44,43,532,Suspicious
77,60,83,562,Suspicious
85,33,84,344,Suspicious
82,16,55,78,Suspicious
3,96,27,114,Suspicious
92,89,47,450,Suspicious
50,16,60,146,Normal
33,54,25,498,Suspicious
87,69,67,386,Suspicious
1,50,21,314,Suspicious
74,28,64,232,Normal
8,45,74,54,Normal
1,47,53,523,Suspicious
72,38,22,552,Suspicious
83,58,95,464,Suspicious
56,96,23,418,Suspicious
98,98,74,269,Suspicious
21,57,50,103,Normal
51,39,65,406,Suspicious
43,39,46,471,Suspicious
30,77,39,105,Suspicious
48,58,87,284,Normal
59,73,42,244,Normal
92,27,33,303,Suspicious
97,25,29,90,Suspicious
18,38,39,299,Normal
40,50,23,486,Suspicious
99,91,51,279,Suspicious
89,47,32,175,Suspicious
87,56,52,204,Suspicious
10,88,35,268,Suspicious
10,70,83,320,Suspicious
35,46,27,117,Normal
34,94,59,421,Suspicious
24,27,31,189,Normal
6,32,31,574,Suspicious
70,16,83,158,Normal
27,21,62,437,Suspicious
92,27,22,354,Suspicious
69,100,30,217,Suspicious
25,98,69,508,Suspicious
90,64,51,316,Suspicious
8,49,71,158,Normal
19,96,71,90,Suspicious
61,58,44,533,Suspicious
36,55,89,469,Suspicious
27,56,90,227,Normal
78,20,50,167,Suspicious
4,80,41,340,Suspicious
14,14,86,266,Normal
24,66,44,210,Normal
30,98,26,320,Suspicious
2,39,23,113,Normal
87,100,48,591,Suspicious
74,88,75,399,Suspicious
10,16,83,450,Suspicious
38,77,89,269,Suspicious
23,65,45,218,Normal
2,58,92,370,Suspicious
30,87,54,80,Suspicious
34,62,47,100,Normal
85,90,52,155,Suspicious
11,26,48,515,Suspicious
68,14,36,63,Normal
15,15,89,345,Suspicious
22,90,96,536,Suspicious
72,69,85,257,Normal
16,60,45,572,Suspicious
20,42,24,235,Normal
4,17,81,243,Normal
79,95,89,292,Suspicious
15,27,70,488,Suspicious
32,24,42,460,Suspicious
76,62,21,121,Suspicious
88,96,52,355,Suspicious
7,88,26,440,Suspicious
76,31,77,424,Suspicious
38,18,63,273,Normal
20,97,44,564,Suspicious
27,26,65,324,Suspicious
28,10,89,299,Normal
85,98,49,257,Suspicious
62,16,37,118,Normal
32,33,79,285,Normal
31,81,66,76,Suspicious
82,51,99,478,Suspicious
49,12,35,553,Suspicious
40,99,63,65,Suspicious
53,61,57,578,Suspicious
98,29,28,477,Suspicious
5,79,79,484,Suspicious
74,60,79,219,Normal
10,55,47,448,Suspicious
6,32,87,224,Normal
75,85,99,450,Suspicious
13,30,55,92,Normal
16,67,76,315,Suspicious
93,40,86,364,Suspicious
38,12,27,352,Suspicious
71,72,66,165,Normal
92,90,40,518,Malware
6,56,40,440,Suspicious
61,80,89,240,Suspicious
51,39,54,380,Suspicious
40,52,95,453,Suspicious
18,88,63,364,Suspicious
12,49,44,128,Normal
7,42,99,425,Suspicious
59,55,36,412,Suspicious
52,35,79,242,Normal
29,100,36,531,Suspicious
26,98,38,219,Suspicious
38,32,71,242,Normal
13,43,47,145,Normal
49,48,72,580,Suspicious
31,17,45,113,Normal
13,36,81,168,Normal
29,57,49,553,Suspicious
87,23,23,503,Suspicious
54,88,89,256,Suspicious
76,22,32,481,Suspicious
